CiAc,MaAc,Gal,Glu,AcPh,AlPh,Î²Glu,DeHy,Ur,TVA,TMY,TAn,TO,Am,NIT-I,NIT-II,DN,AD,BD,NF,RD,SA,TL,TV,<0.5,0.5-2.5,>2.5,AeDW,AeFW,RDW,RFW,SDW,SFW,FFW
8.53205,9.58243,2.35038,3.18356,103.448,500.1,0.652,1.12,0.323,7.602059991,3.698970004,5.77815125,7.238046103,77.6,0,22.6,1,0.704,1.56894,3286,0.445511,477.137,2094.41,8.754,1373.43,679.898,38.0332,93,405,3.9,9.44,8.56,23.44,341
6.87648,9.31989,1.24907,1.52855,84.5253,454.15,0.568,0.96,0.311,7.525044807,5.431363764,6.041392685,7.396199347,77.6,0.608,11.3,2,0.79858,1.78042,6448,0.558852,924.136,3621.63,18.878,2294.35,1164.02,160.447,411,1981,10.55,28.5,29.82,81.55,1112
61.839,70.4911,1.83938,7.30621,93.9866,477.125,0.646,1.04,0.305,7.72427587,5.146128036,5.602059991,7.607455023,77.6,0,22.6,1,0.819525,2.16767,6968,0.491061,826.377,3214.51,17.004,1912.67,1175.32,123.948,215,925,8.35,21.79,14.44,38.84,218
11.468,28.3646,2.31371,5.15753,104.882,504.19,0.61,0.94,0.4765,7.667452953,5.113943352,6.477121255,7.294466226,77.6,3.04,22.6,1,0.6516,1.55361,3597,0.267407,472.135,2315.25,7.741,1455.08,846.342,10.7104,54,169,2.07,6.56,5.21,18.35,262
43.8238,45.6044,2.21537,8.94871,90.7522,429.63,0.79,1.02,0.5175,7.576916956,6.06069784,6.041392685,7.339451441,77.6,1.52,22.6,1,0.68138,1.54248,5943,0.241221,834.749,3852.89,15.007,2510.38,1235.76,101.305,157,492,3.62,14.83,16.98,50.66,592
56.7127,77.6262,2.13628,5.57313,89.496,482.95,0.624,0.93,0.415,7.031408464,5.130333768,6.021189299,6.924279286,77.6,3.04,11.3,3,0.73775,1.79881,5281,0.339242,699.821,2935.82,13.766,1842.29,980.257,112.298,142,560,4.67,18.91,10.49,38.46,404
10.0902,9.84928,1.61112,3.11,89.1114,423.14,0.582,1,0.3005,7.491361694,5.130333768,5.525044807,7.325310372,46.56,0,11.3,0,0.876471,1.83968,10788,0.34164,1642.29,5864.06,37.642,3099.33,2545.42,216.92,158,889,12.86,48.98,17.95,54.26,427
3.33398,11.1221,1.77471,4.14479,82.6389,463.99,0.601,0.9,0.3125,7.088136089,5.45484486,6.767155866,7.275311355,77.6,0,22.6,1,0.8443,1.46379,8247,0.437251,1507.25,5633.99,32.407,3054.01,2364.28,207.267,187,656,14.17,51.1,18.8,56.74,902
10.9726,3.21308,1.54866,2.97056,91.4939,460.2,0.625,1.07,0.444,7.809559715,5.414973348,5.176091259,7.324282455,77.6,0.608,22.6,2,0.707843,1.50445,8078,0.430646,1203.05,5369.42,21.758,3649.71,1545.55,170.353,180,625,9.37,30.95,21.59,64.74,815
63.2092,51.1463,1.83673,3.56517,87.3388,601.03,0.632671,0.96,0.3745,7.574031268,5.511883361,5.911157609,7.206825876,77.6,1.52,22.6,4,1.00333,1.24015,2197,0.522106,546.02,1771.56,14.001,954.921,708.106,108.282,162,562,7.31,19.77,21.39,62.35,882
54.3071,36.097,1.75551,8.1828,87.3093,564.05,0.761377,0.92,0.342,7.206825876,5.431363764,5.361727836,7.371067862,0,0,11.3,1,0.98442,1.0771,2620,1.19905,745.786,2432.45,19.015,1469.73,835.707,126.856,496,1784,22.8,47.61,28.8,76.84,2816
58.7581,43.6217,1.79612,5.87399,80.349,543.15,0.697024,0.94,0.35825,7.428134794,5.47348697,5.718086295,7.29666519,38.8,0.76,16.95,2.5,0.993873,1.14581,2408.5,0.911982,645.903,2102,16.508,1212.32,771.907,117.569,329,1173,15.055,33.69,25.095,69.595,1849
